question,answer,prediction,label
enormously,tremendously,decidedly,guess
provisions,stipulations,jurisdictions,guess
haphazardly,randomly,linearly,guess
prominent,conspicuous,mysterious,guess
zenith,pinnacle,pinnacle,guess
flawed,imperfect,crude,guess
urgently,desperately,tentatively,guess
consumed,eaten,bred,guess
advent,coming,coming,guess
concisely,succinctly,positively,guess
salutes,greetings,greetings,guess
solitary,alone,fearless,guess
hasten,accelerate,accelerate,guess
perseverance,endurance,disturbance,guess
fanciful,imaginative,familiar,guess
showed,demonstrated,postponed,guess
constantly,continually,continually,guess
issues,subjects,salaries,guess
furnish,supply,impress,guess
costly,expensive,beautiful,guess
recognized,acknowledged,successful,guess
spot,location,sea,guess
make,earn,print,guess
often,frequently,hardly,guess
easygoing,relaxed,farming,guess
debate,argument,argument,guess
narrow,thin,thin,guess
arranged,planned,discarded,guess
infinite,limitless,structural,guess
showy,striking,prickly,guess
levied,imposed,imposed,guess
deftly,skillfully,occasionally,guess
distribute,circulate,circulate,guess
discrepancies,differences,differences,guess
prolific,productive,capable,guess
unmatched,unequaled,unequaled,guess
peculiarly,uniquely,suspiciously,guess
hue,color,scent,guess
hind,rear,hairy,guess
highlight,accentuate,restore,guess
hastily,hurriedly,shrewdly,guess
temperate,mild,short,guess
grin,smile,smile,guess
verbally,orally,orally,guess
physician,doctor,doctor,guess
essentially,basically,eagerly,guess
keen,sharp,simple,guess
situated,positioned,emptying,guess
principal,major,most,guess
slowly,gradually,continuously,guess
built,constructed,organized,guess
tasks,jobs,shops,guess
unlikely,improbable,disagreeable,guess
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,chronicles,guess
wildly,furiously,distinctively,guess
hailed,acclaimed,judged,guess
command,mastery,love,guess
concocted,devised,requested,guess
prospective,potential,prominent,guess
generally,broadly,descriptively,guess
sustained,prolonged,analyzed,guess
perilous,dangerous,binding,guess
tranquillity,peacefulness,harshness,guess
dissipate,disperse,photograph,guess
primarily,chiefly,chiefly,guess
colloquial,conversational,recorded,guess
resolved,settled,settled,guess
feasible,possible,equitable,guess
expeditiously,rapidly,frequently,guess
percentage,proportion,profit,guess
terminated,ended,evaluated,guess
uniform,alike,sharp,guess
figure,solve,divide,guess
sufficient,enough,valuable,guess
fashion,manner,fathom,guess
marketed,sold,sold,guess
bigger,larger,steadier,guess
roots,origins,cure,guess
normally,ordinarily,permanently,guess
